Species,Location
SMBass,SC1
Catfish,SC1
Crappie,SC1
LMBass,SC1
Catfish,SC1
Steelhead,SC1
Other,SC1
Catfish,SC1
Catfish,SC1
Catfish,SC1
LMBass,SC1
SMBass,SC1
Catfish,SC1
Walleye,SC1
Catfish,SC1
Catfish,SC1
Catfish,SC1
LMBass,SC1
SMBass,SC1
SMBass,SC1
LMBass,SC1
LMBass,SC1
Other,SC1
Other,SC1
Catfish,SC1
Catfish,SC1
Walleye,SC1
Crappie,SC1
Other,SC1
Catfish,SC1
Catfish,SC1
Walleye,SC1
Walleye,SC1
Catfish,SC1
Walleye,SC1
Crappie,SC1
Walleye,SC1
Catfish,SC1
Crappie,SC1
LMBass,SC1
Crappie,SC1
Catfish,SC1
LMBass,SC1
LMBass,SC1
Catfish,SC1
Crappie,SC1
LMBass,SC1
SMBass,SC1
Walleye,SC1
LMBass,SC1
Other,SC1
Other,SC1
Catfish,SC1
Walleye,SC1
Steelhead,SC1
Catfish,SC1
Catfish,SC1
Walleye,SC1
Catfish,SC1
Other,SC1
Crappie,SC1
SMBass,SC1
Catfish,SC1
SMBass,SC1
Other,SC1
Other,SC1
Walleye,SC1
SMBass,SC1
LMBass,SC1
Catfish,SC1
Crappie,SC1
Crappie,SC1
LMBass,SC1
Walleye,SC1
Catfish,SC1
Walleye,SC1
Crappie,SC1
Walleye,SC1
Walleye,SC1
LMBass,SC1
Catfish,SC1
SMBass,SC1
Other,SC1
SMBass,SC1
LMBass,SC1
Steelhead,SC1
Catfish,SC1
Walleye,SC1
Crappie,SC1
LMBass,SC1
Catfish,SC1
Catfish,SC1
Steelhead,SC1
Walleye,SC1
LMBass,SC1
LMBass,SC1
Catfish,SC1
LMBass,SC1
Catfish,SC1
LMBass,SC1
LMBass,SC1
Walleye,SC1
Crappie,SC1
Other,SC1
Steelhead,SC1
Catfish,SC1
Catfish,SC1
Catfish,SC1
Other,SC1
Crappie,SC1
Catfish,SC1
LMBass,SC1
LMBass,SC1
LMBass,SC1
SMBass,SC1
Catfish,SC1
Catfish,SC1
LMBass,SC1
Walleye,SC1
Walleye,SC1
Walleye,SC1
LMBass,SC1
LMBass,SC1
Catfish,SC1
Walleye,SC1
Catfish,SC1
Walleye,SC1
Crappie,SC1
LMBass,SC1
Walleye,SC1
LMBass,SC1
Crappie,SC1
SMBass,SC1
Catfish,SC1
Steelhead,SC1
SMBass,SC1
LMBass,SC1
Catfish,SC1
Walleye,SC1
SMBass,SC1
Walleye,SC1
LMBass,SC1
Catfish,SC1
Catfish,SC1
Other,SC1
Catfish,SC1
Catfish,SC1
LMBass,SC1
Crappie,SC1
Crappie,SC1
Catfish,SC1
LMBass,SC1
Catfish,SC1
Catfish,SC1
Crappie,SC1
Crappie,SC1
Crappie,SC1
Catfish,SC1
Crappie,SC1
Catfish,SC1
SMBass,SC1
Walleye,SC1
Crappie,SC1
LMBass,SC1
Walleye,SC1
Other,SC1
Crappie,SC1
SMBass,SC1
Crappie,SC1
Catfish,SC1
Walleye,SC1
Catfish,SC1
SMBass,SC1
Catfish,SC1
Catfish,SC1
Crappie,SC1
LMBass,SC1
Walleye,SC1
Catfish,SC1
Steelhead,SC1
Crappie,SC1
Catfish,SC1
SMBass,SC1
SMBass,SC1
SMBass,SC1
Crappie,SC1
LMBass,SC1
Crappie,SC1
Crappie,SC1
LMBass,SC1
LMBass,SC1
Catfish,SC1
SMBass,SC1
Steelhead,SC1
LMBass,SC1
Walleye,SC1
Catfish,SC1
LMBass,SC1
LMBass,SC1
SMBass,SC1
Steelhead,SC1
Catfish,SC1
Walleye,SC1
Catfish,SC1
Crappie,SC1
Catfish,SC1
Other,SC1
Walleye,SC1
Other,SC1
Catfish,SC1
Walleye,SC1
Catfish,SC1
Crappie,SC1
Catfish,SC1
LMBass,SC1
Crappie,SC1
Crappie,SC1
Crappie,SC1
Other,SC1
Walleye,SC1
Catfish,SC1
Catfish,SC1
Steelhead,SC1
SMBass,SC1
Crappie,SC1
Walleye,SC1
Other,SC1
Catfish,SC1
Crappie,SC1
Crappie,SC1
Crappie,SC1
SMBass,SC1
Crappie,SC1
Catfish,SC1
Walleye,SC1
LMBass,SC1
Walleye,SC1
LMBass,SC1
LMBass,SC1
Other,SC1
LMBass,SC1
Walleye,SC1
LMBass,SC1
Catfish,SC1
SMBass,SC1
Catfish,SC1
Walleye,SC1
SMBass,SC1
Crappie,SC1
SMBass,SC1
SMBass,SC1
Steelhead,SC1
Other,SC1
Catfish,SC1
Walleye,SC1
Crappie,SC1
Walleye,SC1
Crappie,SC1
Catfish,SC1
LMBass,SC1
Catfish,SC1
LMBass,SC2
Other,SC2
LMBass,SC2
Crappie,SC2
SMBass,SC2
Crappie,SC2
Other,SC2
Crappie,SC2
Steelhead,SC2
Walleye,SC2
Steelhead,SC2
LMBass,SC2
Walleye,SC2
Other,SC2
Crappie,SC2
LMBass,SC2
Catfish,SC2
Catfish,SC2
Catfish,SC2
Walleye,SC2
Catfish,SC2
SMBass,SC2
Other,SC2
Crappie,SC2
Catfish,SC2
Catfish,SC2
Crappie,SC2
LMBass,SC2
Catfish,SC2
Catfish,SC2
Walleye,SC2
Walleye,SC2
Other,SC2
Walleye,SC2
Crappie,SC2
LMBass,SC2
Crappie,SC2
LMBass,SC2
LMBass,SC2
Crappie,SC2
Catfish,SC2
Walleye,SC2
Crappie,SC2
Other,SC2
Catfish,SC2
SMBass,SC2
Walleye,SC2
Catfish,SC2
Catfish,SC2
Crappie,SC2
Catfish,SC2
Other,SC2
Catfish,SC2
Crappie,SC2
Other,SC2
Catfish,SC2
Walleye,SC2
Catfish,SC2
Crappie,SC2
Catfish,SC2
Walleye,SC2
LMBass,SC2
LMBass,SC2
Catfish,SC3
Walleye,SC3
Catfish,SC3
Catfish,SC3
Walleye,SC3
LMBass,SC3
Catfish,SC3
Catfish,SC3
Walleye,SC3
SMBass,SC3
LMBass,SC3
Catfish,SC3
Other,SC3
SMBass,SC3
LMBass,SC3
Catfish,SC3
Walleye,SC3
Catfish,SC3
Steelhead,SC3
LMBass,SC3
Crappie,SC3
LMBass,SC3
Crappie,SC3
Catfish,SC3
LMBass,SC3
Catfish,SC3
Catfish,SC3
LMBass,SC3
Crappie,SC3
SMBass,SC3
Steelhead,SC3
LMBass,SC3
Other,SC3
Crappie,SC3
LMBass,SC3
Other,SC3
Crappie,SC3
Catfish,SC3
Other,SC3
Steelhead,SC3
LMBass,SC3
Catfish,SC3
LMBass,SC3
Other,SC3
Catfish,SC3
LMBass,SC3
Walleye,SC3
SMBass,SC3
SMBass,SC3
LMBass,SC3
Steelhead,SC3
Catfish,SC3
LMBass,SC3
SMBass,SC3
Crappie,SC3
SMBass,SC3
SMBass,SC3
Catfish,SC3
Other,SC3
Catfish,SC3
SMBass,SC3
Steelhead,SC3
SMBass,SC3
Catfish,SC3
SMBass,SC3
LMBass,SC3
Steelhead,SC3
Other,SC3
LMBass,SC3
Catfish,SC3
Catfish,SC3
Catfish,SC3
Crappie,SC3
LMBass,SC3
Walleye,SC3
Walleye,SC3
LMBass,SC3
Other,SC3
SMBass,SC3
LMBass,SC3
SMBass,SC3
Catfish,SC3
Catfish,SC3
Catfish,SC3
LMBass,SC3
Other,SC3
Catfish,SC3
Catfish,SC3
Catfish,SC3
LMBass,SC3
SMBass,SC3
Walleye,SC3
Walleye,SC3
Other,SC3
Catfish,SC3
Walleye,SC3
LMBass,SC3
Catfish,SC3
Catfish,SC3
LMBass,SC3
LMBass,SC3
Walleye,SC3
Catfish,SC3
Other,SC3
Walleye,AL1
Walleye,AL1
LMBass,AL1
LMBass,AL1
Other,AL1
LMBass,AL1
LMBass,AL1
LMBass,AL1
LMBass,AL1
Walleye,AL1
Catfish,AL1
SMBass,AL1
Walleye,AL1
Catfish,AL1
Walleye,AL1
Catfish,AL1
SMBass,AL1
Walleye,AL1
Catfish,AL1
LMBass,AL1
Catfish,AL1
LMBass,AL1
Crappie,AL1
Steelhead,AL1
Walleye,AL1
Crappie,AL1
Crappie,AL1
Catfish,AL1
Steelhead,AL1
LMBass,AL1
Other,AL1
Crappie,AL1
Catfish,AL1
Catfish,AL1
LMBass,AL1
Catfish,AL1
SMBass,AL1
SMBass,AL1
LMBass,AL1
LMBass,AL1
Catfish,AL1
Catfish,AL1
Walleye,AL1
Crappie,AL1
Catfish,AL1
Crappie,AL1
Walleye,AL1
LMBass,AL1
Walleye,AL1
Crappie,AL1
Crappie,AL1
Crappie,AL1
Crappie,AL1
Walleye,AL1
LMBass,AL1
SMBass,AL1
LMBass,AL1
SMBass,AL1
Catfish,AL1
Crappie,AL1
Catfish,AL1
LMBass,AL1
Crappie,AL1
Catfish,AL1
Crappie,AL1
Crappie,AL1
Catfish,AL1
Walleye,AL1
Steelhead,AL1
Other,AL1
Catfish,AL1
Other,AL1
SMBass,AL1
LMBass,AL1
LMBass,AL1
LMBass,AL1
Crappie,AL1
Crappie,AL1
Crappie,AL1
Other,AL1
SMBass,AL1
Walleye,AL1
Crappie,AL1
Catfish,AL1
Walleye,AL1
SMBass,AL1
Catfish,AL1
Walleye,AL1
