"","Date","HomeTeam","AwayTeam","HTR","B365H","B365D","B365A","Staked","Gain","Balance"
"6",2012-08-18,"West Brom","Liverpool","H",4.2,3.5,1.91,10,0,0
"19",2012-08-26,"Liverpool","Man City","H",3.1,3.4,2.3,20,41,41
"27",2012-09-02,"Liverpool","Arsenal","A",2,3.5,3.75,20,0,31
"37",2012-09-15,"Sunderland","Liverpool","H",3.4,3.3,2.2,20,0,21
"46",2012-09-23,"Liverpool","Man United","D",2.7,3.3,2.63,20,0,11
"54",2012-09-29,"Norwich","Liverpool","A",4.75,3.75,1.73,20,27.3,38.3
"66",2012-10-07,"Liverpool","Stoke","D",1.44,4.33,7.5,20,0,28.3
"71",2012-10-20,"Liverpool","Reading","H",1.33,5,10,20,23.3,51.6
"87",2012-10-28,"Everton","Liverpool","D",2.6,3.3,2.75,20,0,41.6
"97",2012-11-04,"Liverpool","Newcastle","A",1.57,4,6,20,0,31.6
"107",2012-11-11,"Chelsea","Liverpool","H",1.95,3.5,4,20,0,21.6
"111",2012-11-17,"Liverpool","Wigan","D",1.44,4.33,7.5,20,0,11.6
"128",2012-11-25,"Swansea","Liverpool","D",3.4,3.5,2.1,20,0,1.59999999999999
"138",2012-11-28,"Tottenham","Liverpool","H",2.4,3.4,2.88,30,0,1.59999999999999
"142",2012-12-01,"Liverpool","Southampton","H",1.4,4.5,8.5,40,24,25.6
"158",2012-12-09,"West Ham","Liverpool","H",3,3.3,2.38,40,0,15.6
"161",2012-12-15,"Liverpool","Aston Villa","A",1.36,4.75,9,40,0,5.59999999999999
"170",2012-12-22,"Liverpool","Fulham","H",1.53,4,6.5,50,25.3,30.9
"187",2012-12-26,"Stoke","Liverpool","H",3.4,3.2,2.25,50,0,20.9
"198",2012-12-30,"QPR","Liverpool","A",4,3.5,1.91,50,29.1,50
"207",2013-01-02,"Liverpool","Sunderland","H",1.4,4.5,8.5,50,24,74
"218",2013-01-13,"Man United","Liverpool","H",1.91,3.8,4.2,50,0,64
"220",2013-01-19,"Liverpool","Norwich","H",1.33,5.5,10.5,50,23.3,87.3
"235",2013-01-30,"Arsenal","Liverpool","A",2.4,3.5,3.1,50,41,128.3
"249",2013-02-03,"Man City","Liverpool","D",1.83,3.9,4.5,50,0,118.3
"260",2013-02-11,"Liverpool","West Brom","D",1.4,5,9,50,0,108.3
"261",2013-02-17,"Liverpool","Swansea","H",1.57,4.4,6,50,25.7,134
"278",2013-03-02,"Wigan","Liverpool","A",4.5,3.75,1.85,50,28.5,162.5
"285",2013-03-10,"Liverpool","Tottenham","D",1.95,3.8,4,50,0,152.5
"290",2013-03-16,"Southampton","Liverpool","H",4.2,3.8,1.91,50,0,142.5
"305",2013-03-31,"Aston Villa","Liverpool","H",5,4,1.75,50,0,132.5
"312",2013-04-07,"Liverpool","West Ham","D",1.36,5.5,9,50,0,122.5
"320",2013-04-13,"Reading","Liverpool","D",8,4.75,1.45,50,0,112.5
"335",2013-04-21,"Liverpool","Chelsea","A",2.15,3.6,3.6,50,0,102.5
"340",2013-04-27,"Newcastle","Liverpool","A",2.88,3.6,2.5,50,35,137.5
"355",2013-05-05,"Liverpool","Everton","D",1.95,3.6,4.2,50,0,127.5
"363",2013-05-12,"Fulham","Liverpool","D",3.9,3.6,2.05,50,0,117.5
"372",2013-05-19,"Liverpool","QPR","H",1.25,7,12,50,22.5,140
"2",2013-08-17,"Liverpool","Stoke","H",1.4,5,9.5,10,24,24
"12",2013-08-24,"Aston Villa","Liverpool","A",4,3.75,1.95,10,29.5,53.5
"29",2013-09-01,"Liverpool","Man United","H",2.63,3.4,2.88,10,36.3,89.8
"40",2013-09-16,"Swansea","Liverpool","A",3.5,3.5,2.2,10,32,121.8
"42",2013-09-21,"Liverpool","Southampton","D",1.6,4,6.5,10,0,111.8
"59",2013-09-29,"Sunderland","Liverpool","A",5.5,3.9,1.7,10,27,138.8
