"","Date","HomeTeam","AwayTeam","HTR","B365H","B365D","B365A","Staked","Gain","Balance"
"10",2012-08-20,"Everton","Man United","D",4.33,3.6,1.83,10,0,0
"14",2012-08-25,"Man United","Fulham","H",1.29,5.5,11,20,22.9,22.9
"29",2012-09-02,"Southampton","Man United","D",6,4.2,1.53,20,0,12.9
"33",2012-09-15,"Man United","Wigan","D",1.25,6,12,20,0,2.9
"46",2012-09-23,"Liverpool","Man United","D",2.7,3.3,2.63,30,0,2.9
"53",2012-09-29,"Man United","Tottenham","A",1.57,4,6,40,0,2.9
"67",2012-10-07,"Newcastle","Man United","A",4.2,3.75,1.83,50,28.3,31.2
"72",2012-10-20,"Man United","Stoke","H",1.29,5.5,11,50,22.9,54.1
"86",2012-10-28,"Chelsea","Man United","A",2.4,3.4,2.9,50,39,93.1
"91",2012-11-03,"Man United","Arsenal","H",1.7,3.8,5,50,27,120.1
"101",2012-11-10,"Aston Villa","Man United","H",7,4.5,1.44,50,0,110.1
"114",2012-11-17,"Norwich","Man United","D",7,4.5,1.44,50,0,100.1
"122",2012-11-24,"Man United","QPR","D",1.17,7.5,15,50,0,90.1
"134",2012-11-28,"Man United","West Ham","H",1.22,6.5,12,50,22.2,112.3
"145",2012-12-01,"Reading","Man United","A",7.5,4.75,1.4,50,24,136.3
"157",2012-12-09,"Man City","Man United","A",2.2,3.5,3.2,50,42,178.3
"162",2012-12-15,"Man United","Sunderland","H",1.2,6.5,15,50,22,200.3
"179",2012-12-23,"Swansea","Man United","D",5,4,1.67,50,0,190.3
"183",2012-12-26,"Man United","Newcastle","A",1.22,6.5,13,50,0,180.3
"192",2012-12-29,"Man United","West Brom","H",1.3,5.5,10,50,23,203.3
"205",2013-01-01,"Wigan","Man United","A",6,4.2,1.53,50,25.3,228.6
"218",2013-01-13,"Man United","Liverpool","H",1.91,3.8,4.2,50,29.1,257.7
"228",2013-01-20,"Tottenham","Man United","A",2.9,3.6,2.5,50,35,292.7
"238",2013-01-30,"Man United","Southampton","H",1.25,6.5,14,50,22.5,315.2
"243",2013-02-02,"Fulham","Man United","D",5.5,4.2,1.65,50,0,305.2
"259",2013-02-10,"Man United","Everton","H",1.75,3.9,5,50,27.5,332.7
"265",2013-02-23,"QPR","Man United","A",7,4.33,1.53,50,25.3,358
"273",2013-03-02,"Man United","Norwich","H",1.33,5.5,11,50,23.3,381.3
"289",2013-03-16,"Man United","Reading","H",1.17,9,19,50,21.7,403
"301",2013-03-30,"Sunderland","Man United","A",6,4,1.65,50,26.5,429.5
"316",2013-04-08,"Man United","Man City","D",2.3,3.5,3.3,50,0,419.5
"323",2013-04-14,"Stoke","Man United","A",7,3.9,1.6,50,26,445.5
"327",2013-04-17,"West Ham","Man United","D",5.5,3.9,1.7,50,0,435.5
"337",2013-04-22,"Man United","Aston Villa","H",1.25,6.75,13,50,22.5,458
"344",2013-04-28,"Arsenal","Man United","D",2.25,3.6,3.3,50,0,448
"356",2013-05-05,"Man United","Chelsea","D",2.2,3.5,3.5,50,0,438
"364",2013-05-12,"Man United","Swansea","H",1.3,5.75,12,50,23,461
"378",2013-05-19,"West Brom","Man United","A",4.5,3.9,1.83,50,28.3,489.3
"5",2013-08-17,"Swansea","Man United","A",4.2,3.5,2,10,30,30
"21",2013-08-26,"Man United","Chelsea","D",2.45,3.4,3.1,10,0,20
"291",2013-09-01,"Liverpool","Man United","H",2.63,3.4,2.88,10,0,10
"35",2013-09-14,"Man United","Crystal Palace","H",1.22,7,16,10,22.2,32.2
"50",2013-09-22,"Man City","Man United","H",2.2,3.4,3.6,10,0,22.2
"54",2013-09-28,"Man United","West Brom","D",1.3,5.75,12,10,0,12.2
